s_no,latitude,longitude,slide_name,state,state_normalized,district,subdivision_or_taluk,material_involved,movement_type,initiation_year_raw,history_date_raw,event_year,source_page
30628,32.47,76.42,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,519
30629,32.47,76.43,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,519
30630,32.47,76.45,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Fall,0,,,519
30631,32.47,76.45,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,519
30632,32.47,76.31,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,519
30633,32.47,76.31,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,519
30634,32.47,76.26,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,519
30635,32.47,76.27,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,519
30636,32.47,76.29,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
30637,32.47,76.45,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,519
30638,32.47,76.25,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,519
30639,32.47,76.45,,Himachal Pradesh,Himachal Pradesh,Chamba,Bharmour,Rock,Slide,0,,,519
30640,32.47,76.27,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,519
30641,32.47,76.27,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Debris,Slide,0,,,519
30642,32.47,76.29,,Himachal Pradesh,Himachal Pradesh,Chamba,Dharwala,Rock,Slide,0,,,519
